External ID,Launch Season,Display Name,Base Color,Marketing Color,Product Type,UPC Code,Style Name,MSRP,WHLS,Style Number
SPCA120P36AXX,Pre 2021,Shootin' Hand Sticker,White,White,Accessory,840380331208,Shootin' Hand Sticker,4,2.0,SPCA120P36
SPCA120P38AXX,Pre 2021,Leroy Brown Sticker,White,White,Accessory,840380309924,Leroy Brown Sticker,4,2.0,SPCA120P38
SPCA120P65AXX,Pre 2021,Vaquero Muerto Sticker,White,White,Accessory,840380343973,Vaquero Muerto Sticker,4,2.0,SPCA120P65
SPCA121F17AXX,Fall 2021,Shootin' Hand Sticker - Salud Edition,Blue,Blue,Accessory,840380331239,Shootin' Hand Sticker -  Salud Edition,4,2.0,SPCA121F17
SPCA121F18AXX,Fall 2021,All Hat No Cattle Sticker,White,White,Accessory,840380331277,All Hat No Cattle Sticker,4,2.0,SPCA121F18
SPCA121F21AXX,Fall 2021,The Hank Sticker,Red,Red,Accessory,840380331499,The Hank Sticker,4,2.0,SPCA121F21
SPCA122F20AXX,Fall 2022,Well Bye Sticker,Brown,Brown,Accessory,840380330966,Well Bye Sticker,4,2.0,SPCA122F20
SPCA122S20AXX,Spring 2022,Tranquilo Sticker,Black,Black,Accessory,840380370597,Tranquilo Sticker,4,2.0,SPCA122S20
SPCA123F12AXX,Fall 2023,Fast Horse Sticker,Beige,Beige,Accessory,840380300013,Fast Horse Sticker,4,2.0,SPCA123F12
SPCA123F13AXX,Fall 2023,Ride or Die Sticker,Blue,Blue,Accessory,840380300020,Ride or Die Sticker,4,2.0,SPCA123F13
SPCA123F19AXX,Fall 2023,We Come In Peace Sticker,Navy,Navy,Accessory,840380300082,We Come In Peace Sticker,4,2.0,SPCA123F19
SPCA123F20AXX,Fall 2023,Charros & Aliens Sticker,Navy,Navy,Accessory,840380300099,Charros & Aliens Sticker,4,2.0,SPCA123F20
SPCA123F23AXX,Fall 2023,Boot Scootin' Sticker,Beige,Beige,Accessory,840380300129,Boot Scootin' Sticker,4,2.0,SPCA123F23
SPCA123S12AXX,Spring 2023,Cowboys Don't Cry Sticker,White,White,Accessory,840380331215,Cowboys Don't Cry Sticker,4,2.0,SPCA123S12
SPCA123S17AXX,Spring 2023,Wild Wild Horses Sticker,Red,Red,Accessory,840380363674,Wild Wild Horses Sticker,4,2.0,SPCA123S17
SPCA123S20AXX,Spring 2023,So Bueno Sticker,Blue,Blue,Accessory,840380343966,So Bueno Sticker,4,2.0,SPCA123S20
SPCA123S21AXX,Spring 2023,Velociwrangler Sticker,Gray,Gray,Accessory,840380316052,Velociwrangler Sticker,4,2.0,SPCA123S21
SPCA123S22AXX,Spring 2023,Cosmic Cowboy Sticker,Various,Various,Accessory,840380331307,Cosmic Cowboy Sticker,4,2.0,SPCA123S22
SPCA123S22BXX,Fall 2023,Cosmic Cowboy - Holographic Sticker,White,White,Accessory,840380300143,Cosmic Cowboy Sticker - Holographic Edition,4,2.0,SPCA123S22
SPCA124F12AXX,Fall 2024,Stick Horse Sticker,,White,Accessory,840380323159,Stick Horse Sticker,4,2.0,SPCA124F12
SPCA124F13AXX,Fall 2024,Die to Ride Sticker,,Tan,Accessory,840380323166,Die to Ride Sticker,4,2.0,SPCA124F13
SPCA124F17AXX,Fall 2024,Official Western Sticker,,White,Accessory,840380323203,Official Western Sticker,4,2.0,SPCA124F17
SPCA124F22AXX,Fall 2024,Viejones Sticker,,Tan,Accessory,840380323258,Viejones Sticker,4,2.0,SPCA124F22
SPCA124S12AXX,Spring 2024,Reach For The Sky Sticker,,Green,Accessory,840380331147,Reach For The Sky Sticker,4,2.0,SPCA124S12
SPCA124S15AXX,Spring 2024,No Luck Sticker,,White,Accessory,840380331130,No Luck Sticker,4,2.0,SPCA124S15
SPCA124S17AXX,Spring 2024,Yardbird Sticker,,White,Accessory,840380331185,Yardbird Sticker,4,2.0,SPCA124S17
SPCA124S18AXX,Spring 2024,Never Was a Horse Sticker,,White,Accessory,840380331123,Never Was a Horse Sticker,4,2.0,SPCA124S18
SPCA125F11AXX,Fall 2025,Cowboy Kickflip Sticker - White,White,White,Accessory,840380349999,Cowboy Kickflip Sticker,4,2.0,SPCA125F11
SPCA125F13AXX,Fall 2025,So Far West Sticker - Cream,Cream,Cream,Accessory,840380350018,So Far West Sticker,4,2.0,SPCA125F13
SPCA125F14AXX,Fall 2025,Mechanical Cowboy Sticker - Blue,Blue,Blue,Accessory,840380350025,Mechanical Cowboy Sticker,4,2.0,SPCA125F14
SPCA125F15AXX,Fall 2025,Blaster Sticker - Cream,Cream,Cream,Accessory,840380350032,Blaster Sticker,4,2.0,SPCA125F15
SPCA125F16AXX,Fall 2025,Danger Cowboy Sticker - Cream,Cream,Cream,Accessory,840380350049,Danger Cowboy Sticker,4,2.0,SPCA125F16
SPCA125F18AXX,Fall 2025,Lucha Libre Sticker - White,White,White,Accessory,840380350063,Lucha Libre Sticker,4,2.0,SPCA125F18
SPCA125F19AXX,Fall 2025,Sendero Retro Logo Sticker - Purple,Purple,Purple,Accessory,840380350070,Sendero Retro Logo Sticker,4,2.0,SPCA125F19
SPCA125F20AXX,Fall 2025,Eightball Sticker - Blue,Blue,Blue,Accessory,840380350087,Eightball Sticker,4,2.0,SPCA125F20
SPCA125F24AXX,Fall 2025,Koi Bronc Fish Sticker - White,White,White,Accessory,840380350124,Koi Bronc Fish Sticker,4,2.0,SPCA125F24
SPCA125F26AXX,Fall 2025,Rowdy Sticker - Cream,Cream,Cream,Accessory,840380350186,Rowdy Sticker,4,2.0,SPCA125F26
SPCA125F29AXX,Fall 2025,Retro Logo Sticker - Black,Black,Black,Accessory,840380350216,Retro Logo Sticker,4,2.0,SPCA125F29
SPCA125F30AXX,Fall 2025,Retro Logo Sticker - Cream,Cream,Cream,Accessory,840380350223,Retro Logo Sticker,4,2.0,SPCA125F30
SPCA125F31AXX,Fall 2025,Broadway Bones Sticker - Black,Black,Black,Accessory,840380350230,Broadway Bones Sticker,4,2.0,SPCA125F31
SPCA125H11AXX,Holiday 2025,Burro Lady Sticker,White,Cream,Accessory,840380370542,Burro Lady Sticker,4,2.0,SPCA125H11
SPCA125S11AXX,Spring 2025,Bear  Sticker,Brown,Brown,Accessory,840380334001,Bear  Sticker,4,2.0,SPCA125S11
SPCA125S14AXX,Spring 2025,Buffalo  Sticker,Beige,Beige,Accessory,840380334032,Buffalo  Sticker,4,2.0,SPCA125S14
SPCA125S15AXX,Spring 2025,Del Norte  Sticker,White,White,Accessory,840380334049,Del Norte  Sticker,4,2.0,SPCA125S15
SPCA125S17AXX,Spring 2025,Easy Does It  Sticker,Blue,Blue,Accessory,840380334063,Easy Does It  Sticker,4,2.0,SPCA125S17
SPCA125S22AXX,Spring 2025,Lowlife Sticker,White,White,Accessory,840380334117,Lowlife Sticker,4,2.0,SPCA125S22
